Name,Year,Genre,Critic_Score,Global_Sales,Platform,cat_publi,cat_studio
Alienators: Evolution Continues,2001,Action,7.0,0.03,GBA,3,3
Aliens versus Predator,1999,Shooter,8.7,0.01,PC,3,3
Aliens vs Predator,2010,Shooter,6.0,2.29,Multi_Plateforme,3,3
Aliens: Infestation,2011,Action,8.5,0.17,DS,3,1
All Grown Up! Express Yourself,2004,Misc,3.7,0.18,GBA,3,2
All Points Bulletin,2010,Action,7.0,0.04,PC,3,2
All Star Tennis 99,1999,Sports,5.1,0.05,N64,3,0
All-Pro Football 2K8,2007,Sports,7.5,0.26,X360,3,3
All-Star Baseball 2001,2000,Sports,9.2,0.23,N64,3,3
All-Star Baseball 2002,2001,Sports,6.5,0.22,GC,3,2
All-Star Baseball 2003,2002,Sports,7.7,0.3,GBA,3,2
All-Star Baseball 2004,2003,Sports,7.4,0.07,GBA,3,2
Allied General,1996,Strategy,6.3,0.19,PS,1,1
Alone In The Dark,2008,Adventure,3.1,0.18,Wii,3,1
Alone in the Dark,2008,Adventure,6.3,0.49,X360,3,3
Alone in the Dark: The New Nightmare,2001,Adventure,7.2,0.16,PS,2,1
Alpha Protocol,2010,Role-Playing,6.8,0.39,X360,3,3
Altered Beast: Guardian of the Realms,2002,Action,6.5,0.09,GBA,3,1
Alundra,1997,Role-Playing,8.8,0.23,PS,2,3
Alundra 2: A New Legend Begins,2000,Role-Playing,7.1,0.27,PS,3,3
Amazing Island,2004,Strategy,7.1,0.06,GC,3,3
America's Army: True Soldiers,2007,Shooter,4.5,0.08,X360,3,1
America's Test Kitchen: Let's Get Cooking,2010,Simulation,8.5,0.27,DS,3,1
American Bass Challenge,2001,Sports,6.7,0.05,GBA,3,0
Amped 3,2005,Sports,7.2,0.16,X360,3,1
Andretti Racing,1996,Racing,7.3,0.77,PS,3,3
Animal Boxing,2008,Fighting,6.1,0.03,DS,2,0
Animal Crossing,2002,Simulation,8.3,3.15,GC,3,3
Animal Crossing: Amiibo Festival,2015,Party,4.8,0.49,WiiU,3,3
Animal Crossing: City Folk,2008,Simulation,7.1,4.65,Wii,3,3
Animal Crossing: Happy Home Designer,2015,Simulation,6.6,3.41,3DS,3,3
Animal Crossing: New Leaf,2013,Simulation,8.6,10.9,3DS,3,3
Animal Crossing: Wild World,2005,Simulation,8.5,12.14,DS,3,3
Animorphs: Shattered Reality,2000,Action,3.5,0.06,PS,2,0
Anno 1701: Dawn of Discovery,2008,Simulation,8.0,0.13,DS,3,1
Anno 2070,2011,Strategy,8.7,1.4,PC,3,2
